datetime,pm25
2016-11-09 23:00:00+05:30,270.0
2016-11-10 00:00:00+05:30,297.0
2016-11-10 01:00:00+05:30,306.5
2016-11-10 02:00:00+05:30,308.7
2016-11-10 03:00:00+05:30,315.3
2016-11-10 04:00:00+05:30,330.2
2016-11-10 05:00:00+05:30,333.6
2016-11-10 06:00:00+05:30,299.8
2016-11-10 07:00:00+05:30,274.8
2016-11-10 08:00:00+05:30,249.3
2016-11-10 09:00:00+05:30,221.9
2016-11-10 10:00:00+05:30,218.4
2016-11-10 11:00:00+05:30,218.3
2016-11-10 12:00:00+05:30,240.9
2016-11-10 13:00:00+05:30,266.5
2016-11-10 14:00:00+05:30,274.3
2016-11-10 15:00:00+05:30,208.3
2016-11-10 16:00:00+05:30,201.0
2016-11-10 17:00:00+05:30,179.3
2016-11-10 18:00:00+05:30,188.1
2016-11-10 19:00:00+05:30,208.1
2016-11-10 20:00:00+05:30,227.0
2016-11-10 21:00:00+05:30,232.5
2016-11-10 22:00:00+05:30,240.7
2016-11-10 23:00:00+05:30,265.8
2016-11-11 00:00:00+05:30,287.9
2016-11-11 01:00:00+05:30,321.4
2016-11-11 02:00:00+05:30,334.2
2016-11-11 03:00:00+05:30,329.1
2016-11-11 04:00:00+05:30,309.5
2016-11-11 05:00:00+05:30,299.7
2016-11-11 06:00:00+05:30,302.0
2016-11-11 07:00:00+05:30,304.4
2016-11-11 08:00:00+05:30,309.4
2016-11-11 09:00:00+05:30,333.6
2016-11-11 10:00:00+05:30,357.4
2016-11-11 11:00:00+05:30,351.0
2016-11-11 12:00:00+05:30,331.1
2016-11-11 13:00:00+05:30,258.6
2016-11-11 14:00:00+05:30,226.8
2016-11-11 15:00:00+05:30,205.3
2016-11-11 16:00:00+05:30,190.6
2016-11-11 17:00:00+05:30,183.8
2016-11-11 18:00:00+05:30,190.4
2016-11-11 19:00:00+05:30,197.6
2016-11-11 20:00:00+05:30,208.3
2016-11-11 21:00:00+05:30,224.1
2016-11-11 22:00:00+05:30,233.4
2016-11-11 23:00:00+05:30,232.7
2016-11-12 00:00:00+05:30,241.3
2016-11-12 01:00:00+05:30,249.5
2016-11-12 02:00:00+05:30,265.5
2016-11-12 03:00:00+05:30,280.3
2016-11-12 04:00:00+05:30,289.5
2016-11-12 05:00:00+05:30,295.6
2016-11-12 06:00:00+05:30,299.6
2016-11-12 07:00:00+05:30,301.0
2016-11-12 08:00:00+05:30,299.0
2016-11-12 09:00:00+05:30,308.9
2016-11-12 10:00:00+05:30,309.4
2016-11-12 11:00:00+05:30,
2016-11-12 12:00:00+05:30,
2016-11-12 13:00:00+05:30,194.5
2016-11-12 14:00:00+05:30,171.0
2016-11-12 15:00:00+05:30,166.8
2016-11-12 16:00:00+05:30,184.8
2016-11-12 17:00:00+05:30,181.3
2016-11-12 18:00:00+05:30,181.1
2016-11-12 19:00:00+05:30,190.0
2016-11-12 20:00:00+05:30,202.5
2016-11-12 21:00:00+05:30,203.1
2016-11-12 22:00:00+05:30,207.8
2016-11-12 23:00:00+05:30,216.0
2016-11-13 00:00:00+05:30,220.3
2016-11-13 01:00:00+05:30,224.1
2016-11-13 02:00:00+05:30,228.0
2016-11-13 03:00:00+05:30,224.7
2016-11-13 04:00:00+05:30,218.2
2016-11-13 05:00:00+05:30,206.7
2016-11-13 06:00:00+05:30,194.2
2016-11-13 07:00:00+05:30,191.4
2016-11-13 08:00:00+05:30,202.8
2016-11-13 09:00:00+05:30,242.8
2016-11-13 10:00:00+05:30,237.3
2016-11-13 11:00:00+05:30,195.8
2016-11-13 12:00:00+05:30,164.5
2016-11-13 13:00:00+05:30,147.2
2016-11-13 14:00:00+05:30,119.6
2016-11-13 15:00:00+05:30,108.2
2016-11-13 16:00:00+05:30,104.1
2016-11-13 17:00:00+05:30,104.0
2016-11-13 18:00:00+05:30,119.0
2016-11-13 19:00:00+05:30,128.5
2016-11-13 20:00:00+05:30,144.2
2016-11-13 21:00:00+05:30,158.1
2016-11-13 22:00:00+05:30,163.0
2016-11-13 23:00:00+05:30,174.7
2016-11-14 00:00:00+05:30,191.3
2016-11-14 01:00:00+05:30,191.2
2016-11-14 02:00:00+05:30,191.1
2016-11-14 03:00:00+05:30,184.5
2016-11-14 04:00:00+05:30,181.7
2016-11-14 05:00:00+05:30,182.8
2016-11-14 06:00:00+05:30,187.0
2016-11-14 07:00:00+05:30,186.3
2016-11-14 08:00:00+05:30,199.0
2016-11-14 09:00:00+05:30,209.8
2016-11-14 10:00:00+05:30,212.0
2016-11-14 11:00:00+05:30,210.2
2016-11-14 12:00:00+05:30,207.6
2016-11-14 13:00:00+05:30,191.7
2016-11-14 14:00:00+05:30,156.8
2016-11-14 15:00:00+05:30,131.1
2016-11-14 16:00:00+05:30,121.0
2016-11-14 17:00:00+05:30,106.5
2016-11-14 18:00:00+05:30,105.2
2016-11-14 19:00:00+05:30,109.1
2016-11-14 20:00:00+05:30,117.0
2016-11-14 21:00:00+05:30,131.0
2016-11-14 22:00:00+05:30,144.4
2016-11-14 23:00:00+05:30,159.2
2016-11-15 00:00:00+05:30,168.4
2016-11-15 01:00:00+05:30,176.5
2016-11-15 02:00:00+05:30,192.2
2016-11-15 03:00:00+05:30,193.1
2016-11-15 04:00:00+05:30,195.5
2016-11-15 05:00:00+05:30,195.8
2016-11-15 06:00:00+05:30,203.2
2016-11-15 07:00:00+05:30,219.2
2016-11-15 08:00:00+05:30,248.1
2016-11-15 09:00:00+05:30,311.4
2016-11-15 10:00:00+05:30,347.2
2016-11-15 11:00:00+05:30,339.1
2016-11-15 12:00:00+05:30,289.5
2016-11-15 13:00:00+05:30,243.6
2016-11-15 14:00:00+05:30,175.8
2016-11-15 15:00:00+05:30,134.4
2016-11-15 16:00:00+05:30,119.7
2016-11-15 17:00:00+05:30,108.3
2016-11-15 18:00:00+05:30,115.1
2016-11-15 19:00:00+05:30,124.0
2016-11-15 20:00:00+05:30,147.0
2016-11-15 21:00:00+05:30,183.9
2016-11-15 22:00:00+05:30,233.9
2016-11-15 23:00:00+05:30,272.9
2016-11-16 00:00:00+05:30,300.5
2016-11-16 01:00:00+05:30,315.7
2016-11-16 02:00:00+05:30,335.9
2016-11-16 03:00:00+05:30,342.4
2016-11-16 04:00:00+05:30,343.7
2016-11-16 05:00:00+05:30,336.9
2016-11-16 06:00:00+05:30,331.9
2016-11-16 07:00:00+05:30,324.5
2016-11-16 08:00:00+05:30,331.1
2016-11-16 09:00:00+05:30,326.0
2016-11-16 10:00:00+05:30,317.9
2016-11-16 11:00:00+05:30,300.1
2016-11-16 12:00:00+05:30,258.1
2016-11-16 13:00:00+05:30,209.7
2016-11-16 14:00:00+05:30,177.3
2016-11-16 15:00:00+05:30,141.1
2016-11-16 16:00:00+05:30,117.0
2016-11-16 17:00:00+05:30,106.4
2016-11-16 18:00:00+05:30,108.7
2016-11-16 19:00:00+05:30,124.8
2016-11-16 20:00:00+05:30,134.3
2016-11-16 21:00:00+05:30,155.1
2016-11-16 22:00:00+05:30,192.5
2016-11-16 23:00:00+05:30,225.2
2016-11-17 00:00:00+05:30,272.6
2016-11-17 01:00:00+05:30,297.3
2016-11-17 02:00:00+05:30,308.6
2016-11-17 03:00:00+05:30,294.8
2016-11-17 04:00:00+05:30,277.9
2016-11-17 05:00:00+05:30,257.9
2016-11-17 06:00:00+05:30,242.5
2016-11-17 07:00:00+05:30,246.7
2016-11-17 08:00:00+05:30,252.0
2016-11-17 09:00:00+05:30,253.7
2016-11-17 10:00:00+05:30,252.1
2016-11-17 11:00:00+05:30,236.5
2016-11-17 12:00:00+05:30,236.2
2016-11-17 13:00:00+05:30,196.5
2016-11-17 14:00:00+05:30,
2016-11-17 15:00:00+05:30,117.1
2016-11-17 16:00:00+05:30,98.0
2016-11-17 17:00:00+05:30,95.8
2016-11-17 18:00:00+05:30,95.3
2016-11-17 19:00:00+05:30,104.3
2016-11-17 20:00:00+05:30,131.9
2016-11-17 21:00:00+05:30,155.0
2016-11-17 22:00:00+05:30,182.0
2016-11-17 23:00:00+05:30,198.5
2016-11-18 00:00:00+05:30,214.7
2016-11-18 01:00:00+05:30,216.4
2016-11-18 02:00:00+05:30,222.2
2016-11-18 03:00:00+05:30,233.6
2016-11-18 04:00:00+05:30,254.3
2016-11-18 05:00:00+05:30,244.1
2016-11-18 06:00:00+05:30,230.6
2016-11-18 07:00:00+05:30,225.7
2016-11-18 08:00:00+05:30,231.8
2016-11-18 09:00:00+05:30,234.1
2016-11-18 10:00:00+05:30,234.3
2016-11-18 11:00:00+05:30,
2016-11-18 12:00:00+05:30,
2016-11-18 13:00:00+05:30,
2016-11-18 14:00:00+05:30,
2016-11-18 15:00:00+05:30,
2016-11-18 16:00:00+05:30,89.9
2016-11-18 17:00:00+05:30,102.8
2016-11-18 18:00:00+05:30,111.7
2016-11-18 19:00:00+05:30,126.5
2016-11-18 20:00:00+05:30,146.7
2016-11-18 21:00:00+05:30,181.7
2016-11-18 22:00:00+05:30,207.5
2016-11-18 23:00:00+05:30,225.8
2016-11-19 00:00:00+05:30,243.4
2016-11-19 01:00:00+05:30,272.7
2016-11-19 02:00:00+05:30,290.4
2016-11-19 03:00:00+05:30,317.2
2016-11-19 04:00:00+05:30,326.1
2016-11-19 05:00:00+05:30,309.5
2016-11-19 06:00:00+05:30,257.8
2016-11-19 07:00:00+05:30,219.9
2016-11-19 08:00:00+05:30,194.4
2016-11-19 09:00:00+05:30,185.2
2016-11-19 10:00:00+05:30,183.1
2016-11-19 11:00:00+05:30,179.0
2016-11-19 12:00:00+05:30,165.0
2016-11-19 13:00:00+05:30,147.9
2016-11-19 14:00:00+05:30,127.9
2016-11-19 15:00:00+05:30,118.4
2016-11-19 16:00:00+05:30,113.1
2016-11-19 17:00:00+05:30,111.6
2016-11-19 18:00:00+05:30,122.4
2016-11-19 19:00:00+05:30,128.2
2016-11-19 20:00:00+05:30,180.5
2016-11-19 21:00:00+05:30,188.7
2016-11-19 22:00:00+05:30,196.3
2016-11-19 23:00:00+05:30,200.6
2016-11-20 00:00:00+05:30,212.3
2016-11-20 01:00:00+05:30,236.1
2016-11-20 02:00:00+05:30,250.1
2016-11-20 03:00:00+05:30,257.5
2016-11-20 04:00:00+05:30,262.3
2016-11-20 05:00:00+05:30,267.1
2016-11-20 06:00:00+05:30,269.5
2016-11-20 07:00:00+05:30,265.7
2016-11-20 08:00:00+05:30,277.5
2016-11-20 09:00:00+05:30,290.0
2016-11-20 10:00:00+05:30,271.8
2016-11-20 11:00:00+05:30,250.0
2016-11-20 12:00:00+05:30,194.1
2016-11-20 13:00:00+05:30,171.5
2016-11-20 14:00:00+05:30,166.7
2016-11-20 15:00:00+05:30,149.3
2016-11-20 16:00:00+05:30,141.6
2016-11-20 17:00:00+05:30,136.3
2016-11-20 18:00:00+05:30,140.1
2016-11-20 19:00:00+05:30,155.5
2016-11-20 20:00:00+05:30,166.7
2016-11-20 21:00:00+05:30,169.7
2016-11-20 22:00:00+05:30,180.2
2016-11-20 23:00:00+05:30,186.4
2016-11-21 00:00:00+05:30,204.5
2016-11-21 01:00:00+05:30,232.9
2016-11-21 02:00:00+05:30,249.7
