value,flagInfo,parameter,period,coordinates,summary,coverage
270.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-09T17:30:00Z', 'local': '2016-11-09T23:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-09T18:30:00Z', 'local': '2016-11-10T00:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-09T17:30:00Z', 'local': '2016-11-09T23:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-09T18:30:00Z', 'local': '2016-11-10T00:00:00+05:30'}}"
297.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-09T18:30:00Z', 'local': '2016-11-10T00:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-09T19:30:00Z', 'local': '2016-11-10T01:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-09T18:30:00Z', 'local': '2016-11-10T00:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-09T19:30:00Z', 'local': '2016-11-10T01:00:00+05:30'}}"
306.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-09T19:30:00Z', 'local': '2016-11-10T01:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-09T20:30:00Z', 'local': '2016-11-10T02:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-09T19:30:00Z', 'local': '2016-11-10T01:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-09T20:30:00Z', 'local': '2016-11-10T02:00:00+05:30'}}"
308.7,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-09T20:30:00Z', 'local': '2016-11-10T02:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-09T21:30:00Z', 'local': '2016-11-10T03:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-09T20:30:00Z', 'local': '2016-11-10T02:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-09T21:30:00Z', 'local': '2016-11-10T03:00:00+05:30'}}"
315.3,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-09T21:30:00Z', 'local': '2016-11-10T03:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-09T22:30:00Z', 'local': '2016-11-10T04:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-09T21:30:00Z', 'local': '2016-11-10T03:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-09T22:30:00Z', 'local': '2016-11-10T04:00:00+05:30'}}"
330.2,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-09T22:30:00Z', 'local': '2016-11-10T04:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-09T23:30:00Z', 'local': '2016-11-10T05:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-09T22:30:00Z', 'local': '2016-11-10T04:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-09T23:30:00Z', 'local': '2016-11-10T05:00:00+05:30'}}"
333.6,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-09T23:30:00Z', 'local': '2016-11-10T05:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T00:30:00Z', 'local': '2016-11-10T06:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-09T23:30:00Z', 'local': '2016-11-10T05:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T00:30:00Z', 'local': '2016-11-10T06:00:00+05:30'}}"
299.8,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T00:30:00Z', 'local': '2016-11-10T06:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T01:30:00Z', 'local': '2016-11-10T07:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T00:30:00Z', 'local': '2016-11-10T06:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T01:30:00Z', 'local': '2016-11-10T07:00:00+05:30'}}"
274.8,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T01:30:00Z', 'local': '2016-11-10T07:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T02:30:00Z', 'local': '2016-11-10T08:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T01:30:00Z', 'local': '2016-11-10T07:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T02:30:00Z', 'local': '2016-11-10T08:00:00+05:30'}}"
249.3,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T02:30:00Z', 'local': '2016-11-10T08:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T03:30:00Z', 'local': '2016-11-10T09:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T02:30:00Z', 'local': '2016-11-10T08:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T03:30:00Z', 'local': '2016-11-10T09:00:00+05:30'}}"
221.9,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T03:30:00Z', 'local': '2016-11-10T09:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T04:30:00Z', 'local': '2016-11-10T10:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T03:30:00Z', 'local': '2016-11-10T09:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T04:30:00Z', 'local': '2016-11-10T10:00:00+05:30'}}"
218.4,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T04:30:00Z', 'local': '2016-11-10T10:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T05:30:00Z', 'local': '2016-11-10T11:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T04:30:00Z', 'local': '2016-11-10T10:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T05:30:00Z', 'local': '2016-11-10T11:00:00+05:30'}}"
218.3,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T05:30:00Z', 'local': '2016-11-10T11:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T06:30:00Z', 'local': '2016-11-10T12:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T05:30:00Z', 'local': '2016-11-10T11:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T06:30:00Z', 'local': '2016-11-10T12:00:00+05:30'}}"
240.9,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T06:30:00Z', 'local': '2016-11-10T12:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T07:30:00Z', 'local': '2016-11-10T13:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T06:30:00Z', 'local': '2016-11-10T12:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T07:30:00Z', 'local': '2016-11-10T13:00:00+05:30'}}"
266.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T07:30:00Z', 'local': '2016-11-10T13:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T08:30:00Z', 'local': '2016-11-10T14:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T07:30:00Z', 'local': '2016-11-10T13:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T08:30:00Z', 'local': '2016-11-10T14:00:00+05:30'}}"
274.3,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T08:30:00Z', 'local': '2016-11-10T14:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T09:30:00Z', 'local': '2016-11-10T15:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T08:30:00Z', 'local': '2016-11-10T14:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T09:30:00Z', 'local': '2016-11-10T15:00:00+05:30'}}"
208.3,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T09:30:00Z', 'local': '2016-11-10T15:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T10:30:00Z', 'local': '2016-11-10T16:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T09:30:00Z', 'local': '2016-11-10T15:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T10:30:00Z', 'local': '2016-11-10T16:00:00+05:30'}}"
201.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T10:30:00Z', 'local': '2016-11-10T16:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T11:30:00Z', 'local': '2016-11-10T17:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T10:30:00Z', 'local': '2016-11-10T16:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T11:30:00Z', 'local': '2016-11-10T17:00:00+05:30'}}"
179.3,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T11:30:00Z', 'local': '2016-11-10T17:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T12:30:00Z', 'local': '2016-11-10T18:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T11:30:00Z', 'local': '2016-11-10T17:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T12:30:00Z', 'local': '2016-11-10T18:00:00+05:30'}}"
188.1,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T12:30:00Z', 'local': '2016-11-10T18:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T13:30:00Z', 'local': '2016-11-10T19:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T12:30:00Z', 'local': '2016-11-10T18:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T13:30:00Z', 'local': '2016-11-10T19:00:00+05:30'}}"
208.1,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T13:30:00Z', 'local': '2016-11-10T19:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T14:30:00Z', 'local': '2016-11-10T20:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T13:30:00Z', 'local': '2016-11-10T19:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T14:30:00Z', 'local': '2016-11-10T20:00:00+05:30'}}"
227.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T14:30:00Z', 'local': '2016-11-10T20:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T15:30:00Z', 'local': '2016-11-10T21:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T14:30:00Z', 'local': '2016-11-10T20:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T15:30:00Z', 'local': '2016-11-10T21:00:00+05:30'}}"
